Name,Element,BaseAttack,BaseHP,Rarity,WeaponType,Birthday,Constellation,Vision,StoryProfile
Hu Tao,Pyro,244,9189,5,Polearm,7/15,Papilio Charontis,"This tale should begin with the funeral of Hu Tao's grandfather.

Ten days before the funeral itself, Old Hu had passed away following a bout of illness. For its 75th Director, Wangsheng Funeral Parlor held a grand funeral, in accordance with the last wishes of the old man himself, to be conducted by Hu Tao.

Only thirteen at the time, Hu Tao, who would later go on to become the Director in turn, made all the arrangements herself to the highest standard, greatly impressing the undertakers.

After the funeral, the thirteen-year-old Hu Tao grabbed her traveler's bag and crept out alone in the dead of night. In her bag were only a few rations, some water, and a means to create some light. She was headed to a mysterious and seldom-seen frontier.

Heading straight from Wuwang Hill, one may arrive at the border. It is the line that separates life and death, the secrets of which have been managed by Wangsheng Funeral Parlor for generations. According to legend, it is a place where the souls of past relatives and the spirits of those with unfulfilled aspirations linger. For Hu Tao, this journey was a chance to see her grandfather once more before he departed forever.

For two days she journeyed unceasingly before finally arriving at her destination, yet was unable to locate her grandfather upon arrival. Between the innumerable spirits she walked, but not one of them resembled the old man.

She stayed there the whole day before falling asleep in exhaustion, awakening to a night sky and heavy dew. Around her were gathered a few lone spirits, clapping and laughing:

Silly girl, why would Old Hu be here of all places? What were you thinking, looking for your relatives here?

Not one to be swayed so easily, Hu Tao continued to wait, day after day. Her rations gradually disappeared and her water supplies drained away, but her grandfather did not appear. In the end, it was a little old woman who came to her.

She laid eyes on the exhausted Hu Tao and smiled as she spoke: Look at your stubbornness, you're exactly like Old Hu. It's a shame, but none of the Wangsheng Funeral Parlor Directors would ever linger here. You come from a family of plain speakers, so let me return the favor... Go back. Go back to where you came from.

The old woman bid farewell to Hu Tao, before passing over the border and into the distance. Hu Tao watched as the figure of the mysterious woman grew smaller and disappeared, as a sense of doubt tinged with relief manifested itself.

At last she came to the conclusion: her grandfather's absence was due to him having passed over the border as soon as he'd arrived, to the place where he was bound. He had been open and honest in life, leaving behind no regrets, so was it right for his departure to be framed in regretful terms?

With a smile, she set forth on the return journey.

The faraway moon had been casting a thin light on the way over but had now been replaced by the bright light of dawn. As she walked, Hu Tao thought of a saying that her grandfather had often quoted: Live in life, die in death. Follow your heart, do what you can.

It was noon when Hu Tao arrived home. She climbed over the wall into the rear courtyard, went straight to her room, and unpacked her travel bag.

With her food and water long gone, and the rest of her belongings unpacked, the bag she had taken for empty instead contained a colorful Vision. Just when had it arrived?

As one of the few living that had dared to visit the border, perhaps Hu Tao's actions had moved some unknown god.

Perhaps this then constituted a heavenly gift... the ultimate recognition of her strength.","The 77th Director of the Wangsheng Funeral Parlor, a young lady managing the parlor's operations. Despite her position, she's an amiable person who puts on no airs.

Her antics are as plentiful as the sand on Yaoguang Shoal. She never ceases to shock people with her countless bizarre ideas.

Hu Tao may seem like all play and no work, spending every free moment on leisure and being widely considered a laissez-faire business owner.

It is only during funeral ceremonies, when she personally leads her undertakers through lamp-lit alleys, that she shows her dignified and solemn side."
Jean,Anemo,239,114695,5,Sword,3/14,Leo Minor,"If one were to go by skill alone, Jean has long become one of the best swordsmen in Mondstadt. But in Jean's heart, she would rather be a shield that defends freedom and song than a sword that cuts through corruption and darkness.

Protecting has always been tougher than destroying. Around the time when she was promoted from Captain of her squad to Master of Knights, a huge challenge stood before her.

From without, the Fatui exerted diplomatic pressure, and from within, there were traitors — comrades of the former Inspector. Regrouping and finding a way to break through was no easy task.

But Jean was able to fend off the external pressure with one hand, and lead the Knights to smash the many plots off the Abyss Order with the other, re-establishing the authority of the Knights of Favonius.

Jean will never forget the moment she received her Vision. At that moment, all seemed to grow quiet as she felt the breeze flow through her hand. The world seemed to fade away, save for the time-honored motto of the house of Gunnhildr:

For Mondstadt, as always.","The Knights of Favonius are the protectors of Mondstadt, the swords and shields of the city.

In addition to keeping the city and the surrounding travel routes safe from the threat of wild monsters, the Knights' most important responsibility is maintaining order among Mondstadt's inhabitants.

Mondstadt is the City of Freedom, but unchecked freedom without any kind of rules only invites chaos and anxiety. Jean's understanding of this is the reason she remains diligent at all times, holding herself to impeccable standards.

However, she often finds that she exhausts her monthly quota of coffee within the first few days of the month as a result."
Razor,Electro,234,11962,4,Clayore,9/9,Lupus Minor,"The story of how Razor got his Vision is one of the few memories that he wishes he could forget.

One day, during a lightning storm, an Abyss Mage ambushed Razor from behind and dragged him away. The wolf pack ran to his aid and put up a fearless fight, but every last one of them was defeated by the Abyss Mage. As he looked on helplessly at his dear companions being harmed, Razor let out an almighty roar like that of a cornered animal.

Lupical!

Fueled by his almighty fury, a lightning-like power grew inside, and suddenly an overload of elemental energy was flowing within him. He was ready to protect. He was ready to avenge. He threw off his shackles and raised his weapon. The Abyss Mage was overwhelmed and defeated by wild, unfettered frenzy of Electro energy, but this time it was too late to save Razor's wolven companions.

...

Though he had obtained a Vision, Razor was still unable to manipulate Electro energy with finesse. One day many moons later, when he met the Witch of Purple Rose, Lisa, he began to study human knowledge.

Friends, hurt... Never again! I will... protect them.

With each day, Razor grew more skilled in the use of his Vision. He made a silent promise to himself: I will become stronger. I will become the strongest of them all. Because the day may come when his lupical faces another threat, and this time, he will protect them.","Razor is a boy whose identity is shrouded in mystery. He lives in Wolvendom and is rarely spotted by the citizens of Mondstadt.

According to a handful of eyewitness accounts, Razor has keen senses and is highly agile, traversing the forest at breakneck speed. He is often seen in the company of his wolf pack, while generally avoiding contact with humans.

Some speculate that he was an orphan raised by the wolves, while others say he is a wolf spirit that has taken on a human form.

Such rumors only add to the mystery of the Wolf Boy, as the citizens of Mondstadt call him.

Meanwhile, Razor the Wolf Boy stands all the while on the hilltops with his head held high, basking in the warm sunlight."
Noelle,Geo,191,12071,4,Claymore,3/21,Parma Cordis,"Noelle did once wish to fulfill her dreams before its time.

Some years ago, after failing her seventh selection test, which was really a foregone conclusion, she felt somewhat discouraged.

The etiquette, swordsmanship, the lines she had memorized... had they all gone to waste? She remembered all the strong points of every official knight, but who would remember the hard work of a failure like her?

She had never stopped aspiring to become a Knight of Favonius, but her exhausted body wouldn't let her get back on her feet like she normally would. She felt like someone who had spent days and nights traveling through an icy tundra.

At that moment, the main gate of the Knights Headquarters were flung upon, and out walked Acting Grand Master Jean, who had just been in charge of the selection process.

Without a thought, Noelle gave a precise knight's salute. Immediately, she knew that this was too abrupt a thing to do, and wondered what Jean might think of her. But just as she was wishing that there was some hole she might crawl into to flee, Jean stopped in her own tracks and returned the salute. After a moment's surprise, Noelle gave a strained smile, clumsy but pure.

This was a lucky day that she would always remember, for she would receive recognition from two all-important sources this day: once from Jean, and the other from the gods. Her hard work has been remembered after all.

From that day forward, Vision in hand, Noelle reaffirmed her belief that she would one day be able to don that armor. That she would be gentle and reliable — and yes, everywhere at once too.","Noelle has much greater dreams and ambitions than other maids in the Knights of Favonius.

Like anyone else in this city protected by the Knights of Favonius, she too dreams of donning the honored armor. Even if her skills are not enough to pass the rigorous selection trials, she still wishes to observe and learn from them every chance she gets. 

side from her training, she enjoys her current life, helping everyone in need.

You can leave absolutely anything to me!

That's her signature line. If there's anything that you need, Noelle is glad to be of help."
Fischl,Electro,244,9189,4,Bow,5/27,Corvus,"So, is Oz just an imaginary friend who only exists as a figment of Fischl's subconscious?

Our story begins with the royal heirloom, Edelstein der Dunkelheit — that is to say, Fischl's Vision.

When her wish was acknowledged, the raven Oz and her Vision both appeared before her eyes.

That night, at dinner, Oz got on most well with Fischl's parents: Ah, mein Kaiser und Kaiserin der Verurteilung, forgive mine overstep, but the beans in your house are too delicious.

Oh, then please, help yourself. This is the first time little Fischl has met a friend she can bring over for dinner since she turned fourteen. This is a special occasion.

W-What are you saying! I... One does not simply cavort with the plebeians!

—And that's what happened. For all intents and purposes, it seems that the Kaiser und Kaiserin der Verurteilung could both see Oz, and both believed Oz to be the Prinzessin's first friend.

As for the Adventurer Who Bears the World's Curses, the Visitor From Outer Worlds and the Strange Fae-shaped Emergency Sustenance... They would become the Prinzessin's new friends, though that would happen even further in the future.","Fischl is the Prinzessin der Verurteilung who arrived here after being exiled from the otherworld, Immernachtreich.

She observes and weaves the threads of fate together with her talking night raven familiar, Oz.

Owing to reasons she cannot and Oz will not explain, Fischl now serves the Adventurers' Guild as an investigator."
Sucrose,Anemo,170,9243,4,Catalyst,11/26,Ampulla,"It was on an afternoon just like any other that Sucrose received her Vision.

Ready to begin her one-hundred-and-fifty-ninth dandelion-seed simmering experiment, she poured her carefully crafted alchemical solution into the cauldron. Instantly, the cauldron hit boiling point, and the entire room was filled with steam. Sucrose rushed to the cauldron, anxious to see what new transmutation had occurred this time; in her excitement she even burned both of her hands on the lip of the cauldron.

Much to her disappointment, however, the dandelion seeds had once again burned to a crisp. But there was something new there, too: lying there amidst the black dandelion seeds was a Vision.

And yet, rather than pouring out the liquid and taking her Vision she first thought for a moment and then lit the fire up again to continue simmering the contents of the cauldron.

She was curious to know what further reactions might occur between dandelion seeds and Visions. Sadly, the experiment ended in failure after three hours of constant simmering.

Still, there was no denying that she had reaped a great reward from this experiment, for the elemental energy provided by her Vision would become her single greatest asset in her future bio-alchemical endeavors.","Sucrose may be the assistant of the genius alchemist Albedo, but they could not be more different in research direction.

As opposed to studying the essence of alchemy and the ability to create new life, she is far more interested in using alchemy to modify existing life, all the better to add variety and color to this world.

Despite her youth, she has already achieved some brilliant results. For example, she has been able to increase the nectar output of Sweet Flowers by 70% by irrigating them with a special potion. She has also developed a special spray that allows Sunsettias to maintain their freshness for a whole month after being plucked from the branch.

Even people who were initially suspicious of her research inclinations have come to acknowledge her exceptional talents in the field of alchemy after seeing such results.

However, she merely considers these to be incidental steps on the path to a successful experiment, rather than the success itself. Her true aim is much more ambitious than this. It's a secret, and is also her little dream."
Ningguang,Geo,212,9787,4,Catalyst,8/26,Opus Aequilibrium,"No one knows how Visions are created — they have always seemed to just appear out of thin air, leaving the countless unacknowledged in the lurch without a clue as to how to get one.

As for Visions left behind after their users die, they are masterless husks without any elemental power, nor is any method of reawakening them known, save for a tiny chance that it may resonate with another — and only one such other at a time...

Ningguang's first subconscious thought upon seeing such an object oh, look, a new business opportunity. Putting this up for sale would surely have the rich shelling out for it. And if they can't resonate with it, why, they'll just use it to keep up appearances. A sound call either way...

And if there should be a way to collect such empty shells, could this not become a long term business?

Playing with the jewel in one hand, Ningguang began writing plans for an auction in the other, her smile widening as she thought about the riches to be had — and at that moment, the Vision shone forth its light. Ningguang's smile froze as the Vision activated.

Her attendants, coming upon the sight of their mistress, awakened Vision in hand, began to congratulate her on having obtained a priceless treasure. Ningguang, for her part, seemed annoyed instead.

What's there to be happy about? Once broken, considered sold!","The Liyue Qixing controls all of the commerce that takes place in Liyue Harbor. Its highly-revered position is also coveted by many. Their primary ruling is to play things safe and keep a low profile.

The Tianquan of the Qixing, Ningguang, is the only exception. She is seen as an excellent merchant in the eyes of her rivals, a friendly big-sister to kids, a socialite at the banquets of Yujing Terrace, and a connoisseur of desserts...

Ningguang is the talk of the town, and all seem to know everything about her. However, they all seem to tell a different story of Ningguang with great discrepancies between the versions.

Still, if there's one thing all rumors about her agree on, it's that Ningguang is someone truly extraordinary."
Qiqi,Cryo,287,12368,5,Sword,3/3,Pristina Nola,"Qiqi's Vision was given to her in the last moment of her life.

She wanted to stop the clock from turning. She wanted to live happily again.

She feared death. She wanted to live. She missed her family...

These feelings coalesced at last into ice.

If only I could freeze time... How wonderful would that be?

As she thought thus, tears fell from the moribund girl's eyes upon the Vision that had appeared before her.

The mighty and illuminated adepti all acknowledged that this was a legitimate form of illumination — the yearning of humanity for bygone days is, after all, a desire to protect the past.","Due to being a zombie, Qiqi lacks facial expression. She hopes that's okay.

She may look like a zombie, but she's surprisingly limber due to a strict calisthenics regimen.

Her memory is poor. She forgets easily, and that is partly why she can seem cold to others.

Her appearance is forever frozen at the point of her passing, so estimates of her age are unreliable.

Zombies require orders to act, but due to some reason or another, Qiqi is presently giving herself orders."
Keqing,Electro,323,13103,5,Sword,11/20,Trulla Cementarii,"Keqing is likely a skeptic without equal when it comes to the value of Visions.

She knows that everything she has is the result of her own hard work, but that in the eyes of others, credit has been given instead to her Vision.

She once believed that this purple crystal had stolen the pride due originally to her, and that it was both a challenge and an insult from the gods.

In fact, she has tried to destroy her Vision countless times — she's left it in a huge fire for three days and three nights, run over it with a minecart full of rocks, and has even hurled it from the heights of the Jade Chamber.

Unfortunately, she has never been successful.

With no options left, and not wanting it to fall into the wrong hands, Keqing was forced to accept the Vision as part of her life.

With the passage of time, Keqing came to appreciate the Vision. She realized that this item did not actually have any divine will imbued within it, and indeed had numerous practical uses, and as such chose to use it.

The source of power is far less important than the character of its user.

Regardless of how she may once have regarded it, Keqing's Vision and its powers have become a part of her.

Thank the Archons she hadn't destroyed it back then, or she'd have regretted it for sure — oh, the hardships of being a pragmatist.","Rex Lapis has brought prosperity and plenty to Liyue Harbor, and his rule and majesty have long passed into show and song, much to the delight of the people. But for some proximity to a god, Keqing seems to lack the requisite respect the most.

Hmph. Let's be real here, but does Morax really know everything?

The Liyue Qixing deal with the day-to-day happenings in the Harbor, whether great or small, while Rex Lapis only descends once a year.

While history has shown that following Morax's lead has been the right call, Keqing believes that humans should have their own pride, and that their views deserve equal importance.

As such, she often advocates different opinions from Rex Lapis, and is the first to put such views into practice.

Her radical actions have seen stellar results, but they have also attracted murmurings of opprobrium among those devoted to Rex Lapis.

As Keqing sees it, such opposition are the excuses of those who have grown complacent under the aegis of their deity, and who cannot consider the future of humanity of their own accord.

But someone must walk on the front line of the epoch and create a new path with their own hands — and the Yuheng star is determined to do her part in this endeavor."
Diona,Cryo,212,9570,4,Bow,1/18,Feles,"Diona's antipathy towards alcohol is not hate per se. Instead, it can be considered a form of avarice.

She wishes for her father to always be the man that she admires, and she treasures every moment that she spends with her family, unwilling to share her happiness with the wine.

There was once a storm that lasted for three days, and for those three days, her father, who had been out hunting, did not return.

The awful weather prevented the search parties sent by the Knights of Favonius from making much headway, and soon the dread of loss began to hang over Diona like a shroud.

If she could not even stand to share, how could she bear having something utterly stolen from her?

She burst out the door and into the tempest, and the waters that stood in her path were frozen by some power she did not recognize.

Using her superlative tracking skills, she found her father under a broken gorge.

With the help of other hunters, she returned home with her father, and only once she realized that he would be fine did she finally smile again.

Do you... want me to mix you a drink? It'll numb the pain a little...

That was probably the first time she ever mixed a drink in a normal fashion.

Ooh, it's so refreshing. It's wonderful! Hahaha—Ouch...

Getting to drink a cocktail that his daughter had made was probably a better anesthetic by far than the alcohol itself.

Still, Diona gaining power over Cryo did not help reconcile her to wine at all.","Whenever a guest walks into the Cat's Tail, they will immediately glance in the direction of the bar. Behind it often stands a girl with mildly-twitching cat ears, cocktail shaker in hand, and an unhappy look on her face.

This is the mixologist Diona, ascendant star of Mondstadt's wine industry, and the greatest challenger to its traditional powerhouses.

However, she does not make these wonderful cocktails on purpose — indeed, quite the opposite.

Her mixing methods can seem a little inscrutable to an outsider. To herself, Diona tries nothing less than her hardest to ruin that hateful grog.

But no matter the drink, it will turn out to be an unimaginably sumptuous brew so long as it passes through her hands.

This is a blessing she has received, though that blessing is a huge headache for her.

For this mixologist proclaims herself to be the Wine Industry Slayer, and her final objective is the utter destruction of Mondstadt's entire wine industry."
Albedo,Geo,251,13226,5,Sword,9/13,Princeps Cretaceus,"Gaining a Vision came as little surprise to Albedo.

Indeed, when he received it, he gave it a single glance before carrying on with what he was doing before.

He barely felt any wave of emotion at all, as if this was something to be taken for granted.

As far as he is concerned, his Vision is merely a tool with which he can more conveniently conduct his research.

That which truly sparks joy within him is turning the unknown into the known.

One day, he will understand all there is to know about this world — and Visions themselves are no exception.","Alchemy is an ancient art, and many of its secrets have been lost to history.

The few commonly known alchemy techniques of today are but enough to put some broken odds and ends together, saving you the money you would have otherwise spent on glue.

Nay, alchemy is not so ignoble an art! Or so most alchemists would protest.

But as far as the average citizen of Mondstadt was concerned, that was alchemy.

At least until the day Albedo suddenly appeared and decided to stay in Mondstadt.

This young man displayed the true prowess of alchemy to all, bringing with him a massive corpus of wisdom that even the Sumeru Academia did not possess.

The universe is heaven reversed, and the earth is a dream lost to time. This is dust, the most basic form of complex life.

As if to provide evidence for this claim, Albedo lifted the burnt ash of a flower that once grew atop a Dendro Slime's head.

Seconds later, a Cecilia sprouted forth from the ash in this hand.

And this... is new birth."
Barbara,Hydro,159,9787,4,Catalyst,7/5,Crater,"The story of how Barbara obtained her Vision is hardly the typical tale of high-stakes heroism.

She had just joined the church and was looking after a little boy with a high and persisting fever. Nothing Barbara could think of would console the boy and bring an end to his relentless tears.

Someone remarked that while the boy had already taken his medicine, there was no way to cure the pain of missing one's family. Another suggested that Barbara sing a song for the boy to raise his spirits.

Barbara had never sung a song in her life up until this point, but how could she shy away from it in a moment like this?

Never having sung before is no reason to abandon a child in their time of need, Barbara thought to herself.

And so, Barbara took the boy in her arms and sang him a song: a lullaby, the only song she knew. It was unceremonious beginning to her singing career.

After quickly realizing that she barely knew any of the words, she had to resort to humming the tune instead. Nevertheless, her voice began to soothe the child, and so she kept singing. She sang the same song, over and over again, until her throat was dry and her voice was hoarse.

Finally, the boy fell asleep. Exhausted, Barbara lay down by the wall and fell straight asleep herself.

Early the next morning, Barbara awoke to discover the boy's fever had come down.

Perhaps it was because she had sung for him, or perhaps it had something to do with the Vision which had mysteriously appeared next to her hand at some point during the night. Barbara was not preoccupied with the Vision, however. It was the sight of the boy smiling once again that filled her heart with joy.

Barbara received her Vision for the simple but beautiful wish that took hold in her heart that night: A dream of healing the sick through the power of song.","Barbara is the Deaconess of the Church of Favonius, as well as the shining idol of Mondstadt.

The sight of Barbara makes all my problems disappear. This is quite a common saying among the citizens of Mondstadt.

In fact, Barbara can do much more than just put people in a better mood: Her healing powers extend to flesh wounds and other physical ailments.

Barbara is known to have access to miraculous healing powers through her Hydro Vision.

However, Barbara herself knows that hard work is the most miraculous magic of all."
Beidou,Electro,225,13050,4,Claymore,2/14,Victor Mare,"Liyue and Inazuma share a common saying: Its fins formed the ocean deep, its tail the mountains high. The fishermen learned this phrase while ashore long ago, and sang it over and over, spreading the tune far and wide till it became the oft-praised song people know today. Whenever the mists gather over the sea's surface, one can hear the distant song of the fishermen hidden in the white shroud: its fins formed the oceans deep, its tail the mountains high...

This was Beidou's childhood lullaby. The tale of Rex Lapis smiting the sea monsters had become legendary among the people of Liyue. As a child, Beidou loved such tales, and in her dreams, she thought: I too should like to see this giant fish.

This day, however, she sang this song with a different emotion in her heart. Her entire crew sang along as they sailed.

Haishan was in the waters with them — at once like a dragon and a fish, it was larger than any could have imagined in their worst nightmares, and mighty as a deity, raising waves dozens of meters high with ease.

Those who ply their trade on the high seas are destined to meet Haishan eventually. Beidou had longed to do so since she was nine, dreaming of slicing its head off in a single blow.

Many times she had challenged the creature, and many times she had failed. But this day was different. This day she charged at Haishan with her best greatsword in hand, and crack sailors at her back.

The battle would rage fiercely for four days. With cannons and harpoons, arrows and ropes the fleet would assail Haishan, while Beidou battled the thusty tied-down creature for ten hours, well into the night.

Now, nighttime was when Haishan was in its element, and in their vigilance not a single member of the fleet even dared sleep a wink. Beidou stood upon the prow, listening to the wind.

One strike. Just one strike. That was all she needed. And so she waited, unmoving, in the freezing wind.

Then, at the crack of dawn, having neither eaten nor drank throughout the night, Beidou heard a change in the sound of the waves.

With one almighty strike that sounded as if it could have sliced the moon in two or ripped a mountain from the face of the world, she chopped the leviathan's head clean off!

The sound of thunder filled the heavens, and a single bolt of purple lightning struck the ocean right in front of Beidou, even as she bathed in the blood of her nemesis.

Thus descended a Vision to the slayer of the sea monster, its violet glow as stunning as lightning, and its immaculate, jeweled form a treasure more precious than dragon blood. A suitably divine gift for the hero who subdued Haishan.","Beidou is the leader of The Crux — an armed crew based in Liyue Harbor.

An armed crew means exactly what it sounds like: a crew of sailors armed to the teeth.

Without getting into too many details, everything the Crux does is approved by the Qixing... more or less.

Beidou is a trusted leader; so much so that her crew believes her capable of taming the storms and billows on the sea.

It's Beidou! Even the mightiest of storms must bow its head to her might!"
Xiangling,Pyro,225,10875,4,Polearm,11/2,Trulla,"You can make something super delicious out of any kind of ingredient.

Xiangling earned the approval of a Vision by shouldering this ideal in a wholehearted and unreserved manner. Even when she would make dishes that could be called horrifying, her desire to keep trying to match ingredients would never waver.

Ugh... Qingxin Fried Lizard is actually kinda bad. I think lizards should just be stone-grilled in the future.

Slime fried rice is also rather ordinary. Maybe we'll try putting mushrooms in a slime jus next time.

Though her friends fell around her during the epic battles with the taste of her dishes and advised her to turn back, Xiangling never stopped thinking about how to turn these special ingredients into delicious food.

In Xiangling's innocent and persistent heart, as long as they were not poisonous, there were no good or bad ingredients.

Her Vision, after all, proves that even the gods approve of such thinking.","Coming, coming! Here's your Stir-Fried Filet! And your Mora Meat. And Fried Radish Balls, as you ordered.

In Liyue, there's a place called Chihu Rock, and there stands a restaurant known as Wanmin Restaurant.

Once must remain focused if they want to keep moving forward on the bustling streets of Liyue. Unsuspecting newcomers to this place are often lured away by wonderful culinary aromas or lead to peek inside stores by curious sounds.

Xiangling, who is both chef and waitress at the restaurant, delivers steaming delicious dishes to the tables.

Sit anywhere you'd like. I can make whatever you want, even if it's not on the menu!

The workers at Wanmin Restaurant can recognize a regular, if not by their face, then by the first sentence out of their mouths.

A customer that orders without needing a menu have been at least a few times before. However, if they ask Is Xiangling the chef today? then they're definitely a regular."
Chongyun,Cryo,223,10984,4,Claymore,9/7,Nubis Caesor,"Those other exorcists at least have the courtesy to wave their swords or tack on some talismans. You just sat here for a while, and now you say you’re done, and that I should pay you? Who are you trying to fool?

Chongyun faced a great deal of suspicion when he first took up the role of an exorcist.

He immediately faced one big hurdle: it was a lot easier to prove that evil spirits are present than not.

Of course he would seem a charlatan even compared to exorcists who just went through the motions.

With all the ability in the world but no place to use it, looked on with suspicion, and needing to suppress any passionate impulses...

Those who eventually apologized to him were also few.

But even so, Chongyun would not go with the flow, and use some fancy act to cover for his real method of conducting exorcism. Even with this body getting in the way, Chongyun has never once considered giving up.

One day, he will become the greatest exorcist in Liyue, control his yang energy, and rid the world of evil spirits.

Perhaps it was this resolve that earned him the gods' favor — that said, the Vision granted to Chongyun was one of Cryo rather than Pyro.

As to which of his goals it was the Vision responded to, that is also a mystery.","Throughout its long history, Liyue has never had a lack of rumors and myths regarding all manner of evil spirits and demons. And regardless of the truth of such rumors, someone has to do something about them.

Chongyun was born into a renowned family of exorcists, and has possessed a natural ability to drive away evil spirits from a young age due to his innate constitution of pure-yang spirit. His powers of exorcism are far beyond the norm: his mere presence is sufficient to scatter evil spirits.

However, this has proven to be an inconvenience for Chongyun himself, for though he has undertaken hundreds of successful exorcisms, he has never seen a single ghost or demon.

Chongyun believes that a true exorcist should exorcize evil with charms and swordsmanship. This natural ability that he has...is just not orthodox.

Therefore, he has dedicated himself to the study of exorcism techniques and martial arts, as well as seeking the haunts of evil spirits to prove himself an able and professional exorcist even without his unique physical condition.

Yet, when will that condition stop being a stumbling block on his path to self-realization?"
Xinyan,Pyro,249,11201,4,Claymore,10/16,Fila Ignium,"Xinyan was someone who never fit in in Liyue Harbor, and she only found where she belonged when she encountered rock 'n' roll.

But because she lived in a land that had no place for rock 'n' roll yet, she needed to be able to attract enough attention.

She immersed herself in the world of music, looking for a way to move peoples' hearts. She broke many an instrument and played till calluses formed on both hands, but still, it was unsatisfactory.

Who'd want to listen to this racket?

The rotten-tomato reviews she received were starting to get to her. She wondered if she should quit.

Sitting on top of Mt. Tianheng, she looked down over Liyue Harbor. But though the lights lit the streets and alleys of the harbor, they could not light the spirit of rock 'n' roll. She considered leaving, to go someplace where rock 'n' roll was appreciated. But would this not be running away? Would it not be a betrayal of rock 'n' roll's spirit of resistance?

No, she would not leave. She would become a flame that could light Liyue Harbor up.

She started experimenting with the use of fire to move people, adding sparks and explosions to her music.

But this was no mean feat for an ordinary person.

Who knows how many times she must have burnt her fingers or blown her instrument up. But still, she continued to practice every single day on top of Mt. Tianheng.

And perhaps it was that the gods themselves had great expectations of this new form of music that would soon grace the seven nations...

But regardless, the boiling-hot Vision would be the final stroke of perfection.

Xinyan dashed down the mountain and began her very first rock 'n' roll concert in Liyue Harbor.

Thus did her musical journey begin, with showers of sparks and explosions keeping time.

","Rock 'n' roll originates in Fontaine and is just starting to find its feet in Liyue Harbor. Xinyan, thus, is a pioneer in this art.

Every night, she will sling on the instrument that she made herself, stand on a self-constructed stage, and play self-composed tunes to every member of the audience.

As the person is, so are her songs: bold, defiant, loud, and proud.

She is by no means a virtuoso, but her loyal fans will nonetheless lose themselves in celebrating along with her, using their voices and their bodies to shake off the stress and troubles of the day.

In the heat of the moment, the fire that leaps from Xinyan's Vision threatens to turn night into day.

She is a true rock 'n' roll genius, and a greater master still at creating atmosphere, says The Steambird of her skill.

Living in Liyue is expensive, and maintaining one's lifestyle in there is harder still. But as Xinyan would tell those worried about such mundane matters—

Rock 'n' roll is easy, really."
Amber,Pyro,223,9461,4,Bow,8/10,Lepus,"Amber once believed that if she took on her grandpa's post, she would understand why he left Mondstadt.

However, even when she officially became an Outrider, she was no closer to unraveling the mystery behind his wordless departure.

Her grandpa had left nothing for her to find either, indicating that she would have to forge her own path.

Amber floundered for a while, until she flipped through an old book of fables that she would eventually come to treasure.

What you lacked was not wind, but courage. It is courage that has allowed you to become the first flying birds of this world.

Amber realized that she shouldn't wait for directions from someone else, but that she should be like those courageous birds that spread their wings and flew into the blue skies.

There must be something that only I can do. There must be.

The moment she realized this, a Vision began to shine brightly at her hip.","Amber is an Outrider of the Knights of Favonius. In an age where Outriders are becoming obsolete, she continues on with her responsibilities.

It takes a newcomer only a few days to feel right at home with this passionate girl.

Whether it's before the Good Hunter's signboard, the banks of Cider Lake, or the tree tops at Windrise, one can find traces of this vigilant Outrider in red anywhere.

Once spotted by her, no suspicious individual can ever escape her interrogation."
Lisa,Electro,232,9570,4,Catalyst,6/9,Tempus Fugit,"A Vision is a sign from the gods: a sign that you are one of those whom they have chosen to change the world.

Or, maybe it's just one of the many hoops that one has to jump through on the path to unearthing the secrets of magecraft.

After all, understanding the elements is essential to the study of magic, and practical experience is a far more useful means of acquiring this understanding than trying to assimilate the knowledge contained in dusty old books.

Hmm... I suppose I shall need a Vision, then.

And just like that, as that thought popped into her mind, her Vision popped into her hand.

With the aid of her Vision, Lisa acquired the knowledge that she sought. But she also sensed the deep secret hidden in the shadows of that knowledge.

For whatever reasons, the gods gave humans the key to changing everything, but they did not explain the cost involved. Lisa grew fearful of the truth.

The Vision that hung from her neck became to her a bottomless pit filled with sweet delights, lingering at the back of her mind.

So, from time to time, when somebody whom she finds interesting comes along, Lisa will pass onto them her understanding on all kinds of matters.

Perhaps she is secretly hoping that by doing so, one day someone will come along who has the ability to understand the ultimate truth behind Visions.","The librarian of the Knights of Favonius. In addition to her elegance and charm, Lisa is also highly educated.

She is said to have been the most talented sorceress to study at the Sumeru Academia in the last two centuries.

It is known that Lisa chose to return to Mondstadt after two years of advanced study in Sumeru, but the reason for her decision is not."
